query_number,query_text,matched_codes,match_count
5772,"AND([IssuerType] == 'Publicly-held',OR([APMinesOverallFlag] == 'RED',[BiologicalWeaponsOverallFlag] == 'RED',[ChemicalWeaponsOverallFlag] == 'RED',[ClusterMunitionsOverallFlag] == 'RED',[DepletedUraniumOverallFlag] == 'RED',[NuclearWeaponsNonNPTOverallFlag] == 'RED',[NBSOverallFlag] == 'RED',[AlcoholRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[PornographyRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[GamblingRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[MilitaryEqmtRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[FossilFuelRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[CoalMiningInvolvement] ANY 'Production',[TobaccoRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[ArcticDrillingInvolvement] ANY 'Production',[OilSandsInvolvement] ANY 'Production'))",NBSOverallFlag,1
5783,"AND([IssuerType] == 'Publicly-held',OR([APMinesOverallFlag] == 'Red',[DepletedUraniumOverallFlag] == 'RED',[ClusterMunitionsOverallFlag] == 'Red',[NuclearWeaponsNonNPTOverallFlag] == 'Red',[PowGenRevShareThermalMin] >= '0.05',[TobaccoInvolvement] ANY 'Production',[PornographyInvolvement] ANY 'Production',[OilSandsInvolvement] ANY 'Production|Exploration',[ArcticDrillingInvolvement] ANY 'Production',[ChemicalWeaponsOverallFlag] == 'Red',[BiologicalWeaponsOverallFlag] == 'Red',[NBSOverallFlag] == 'RED',[NuclearWeaponsOverallFlag] == 'RED',[WhitePhosphorusOverallFlag] == 'RED',[ShaleOilGasInvolvement] ANY 'Production',[OilSandsProdMaxRev] > '0',[OilSandsExplMaxRev] > '0',[OilSandsServMaxRev] > '0.5',[AlcoholInvolvement] ANY 'Production|Distribution',[AlcoholRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[MilitaryEqmtRevShareInterval] IN '[50-100%]',[MilitaryEqmtInvolvement] ANY 'Services',[AlcoholInvolvement] ANY 'Services',[AlcoholRevShareInterval] == '[50-100%]',[TobaccoInvolvement] ANY 'Services',[TobaccoRevShareInterval] == '[50-100%]',[TobaccoInvolvement] ANY 'Distribution',[TobaccoRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[CannabisInvolvement] ANY 'Production|Distribution|Experimentation',[CannabisRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[CannabisInvolvement] ANY 'Services',[CannabisRevShareInterval] == '[50-100%]',[PornographyInvolvement] ANY 'Distribution|Services',[PornographyRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[FossilFuelRevShareMin] >= '0.05',[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution',[FossilFuelRevShareMin] >= '0.5',[FossilFuelInvolvement] ANY 'Services',[GamblingInvolvement] ANY 'Production|Distribution',[GamblingRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[GamblingInvolvement] ANY 'Services',[GamblingRevShareInterval] == '[50-100%]',[NuclearPowerRevShareMin] >= '0.3',[PowGenCapacityNuclearRatio] <= '0.3',[MilitaryEqmtRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[MilitaryEqmtInvolvement] ANY 'Production|Distribution'))","NBSOverallFlag, FossilFuelInvolvement, FossilFuelInvolvement",3
5801,"AND([IssuerType] == 'Publicly-held',OR([EnergyExtractivesInvolvement] ANY 'Energy|Extractives|Other',[ClimatePotentialFFREmissions] > '0',[OandGReservesReplacementRatio] > '0',[FossilFuelCoalExtractRevShareMin] > '0',[FossilFuelCoalPowerRevShareMin] > '0',[FossilFuelCoalRefProcRevShareMin] > '0',[FossilFuelCoalTradeRevShareMin] > '0',[FossilFuelTotCoalProdRevShareMin] > '0',[OilShaleInvolvement] True,[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services',[FossilFuelDisclosure] IN 'Company Reported|Calculated/Estimated',[FossilFuelRisk] ANY 'Production|Exploration|Distribution|Services',[FossilFuelGasExtractRevShareMin] > '0',[FossilFuelGasPowerRevShareMin] > '0',[FossilFuelGasRefProcRevShareMin] > '0',[FossilFuelTotGasProdRevShareMin] > '0',[FossilFuelOilExtractRevShareMin] > '0',[FossilFuelOilPowerRevShareMin] > '0',[FossilFuelOilRefProcRevShareMin] > '0',[FossilFuelTotOilProdRevShareMin] > '0',[FossilFuelPeatExtractRevShareMin] > '0',[FossilFuelPeatPowerRevShareMin] > '0',[FossilFuelPeatRefProcRevShareMin] > '0',[FossilFuelTotPeatProdRevShareMin] > '0',[FossilFuelPercWorldProdCoalExtr] > '0',[FossilFuelPercWorldProdGasExtr] > '0',[FossilFuelPercWorldProdOilExtr] > '0',[FossilFuelProdTotalVolCoalExtr] > '0',[FossilFuelProdTotalVolGasExtr] > '0',[FossilFuelProdTotalVolOilExtr] > '0',[FossilFuelDistMinRev] > '0',[FossilFuelExplMinRev] > '0',[FossilFuelProdMinRev] > '0',[FossilFuelServMinRev] > '0',[FossilFuelTotalExtracRevShareMin] > '0',[FossilFuelRevShareMin] > '0',[FossilFuelTotalPowerRevShareMin] > '0',[FossilFuelTotalRefProRevShareMin] > '0'))",FossilFuelInvolvement,1
5833,"AND([IssuerType] == 'Publicly-held',OR(AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseIranInvolvement] ANY 'Ties to The Government',[GSCaseIranRevShares] ANY_MAP 'Mineral Extraction Country:(10-100%]|Oil and Gas Country:(10-100%]|Power Production Country:(10-100%]',[GSCaseSudanSubstantialActions] NONE 'Plan to cease|Humanitarian|Sudan Darfur Genocide'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseIranInvolvement] ANY 'Ties to The Government',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanExemptions] NONE 'Authorized by US Government|Social Development Company'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Provider of Military Equipment',[GSCaseSudanExemptions] NONE 'Authorized by US Government|Military Equipment Exemption|Social Development Company'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanExemptions] NONE 'Authorized by US Government|Social Development Company')))","GSCaseSudanInvolvement, GSCaseSudanInvolvement",2
5834,"AND([IssuerType] == 'Publicly-held',OR(AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Provider of Military Equipment',[GSCaseSudanExemptions] NONE 'Military Equipment Exemption|Social Development Company'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanSubstantialActions] NONE 'Plan to cease|Humanitarian|Sudan Darfur Genocide'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanExemptions] NONE 'Social Development Company')))","GSCaseSudanInvolvement, GSCaseSudanInvolvement, GSCaseSudanInvolvement",3
5835,"AND([IssuerType] == 'Publicly-held',OR(AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanExemptions] NONE 'Social Development Company'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Darfur Genocide Complicity|Provider of Military Equipment',[GSCaseSudanExemptions] NONE 'Military Equipment Exemption|Social Development Company'),AND([CaseAreas] IN 'Global Sanctions>Sudan',[GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanSubstantialActions] NONE 'Plan to cease|Humanitarian|Sudan Darfur Genocide',[GSCaseSudanExemptions] NONE 'Social Development Company')))","GSCaseSudanInvolvement, GSCaseSudanInvolvement, GSCaseSudanInvolvement",3
5839,"AND([IssuerType] IN 'Extinct|Government Institution|Non-Profit Organization|Other|Private Company|Private Fund|Public Fund|Publicly-held',OR([WhitePhosphorusOverallFlag] IN 'RED',[NuclearWeaponsNonNPTOverallFlag] IN 'RED|Amber',[NBSOverallFlag] IN 'RED|Amber',[BiologicalWeaponsOverallFlag] IN 'RED',[ChemicalWeaponsOverallFlag] IN 'RED',[APMinesOverallFlag] IN 'RED',[ClusterMunitionsOverallFlag] IN 'RED',[DepletedUraniumOverallFlag] IN 'RED'))",NBSOverallFlag,1
5844,"AND([IssuerType] IN 'Extinct|Government Institution|Non-Profit Organization|Other|Publicly-held|Private Company',OR([BiologicalWeaponsOverallFlag] IN 'RED|Amber|Green',[ChemicalWeaponsOverallFlag] IN 'RED|Amber|Green',[NuclearWeaponsNonNPTOverallFlag] IN 'RED|Amber|Green',[DepletedUraniumOverallFlag] IN 'RED|Amber|Green',[GSCanadaInvolvement] True,[GSHongKongInvolvement] True,[GSJapanInvolvement] True,[GSSwissInvolvement] True,[GSUKInvolvement] True,[GSOFACInvolvement] True,[GSEUInvolvement] True,[GSUNInvolvement] True,[GSAustraliaInvolvement] True,[APMinesOverallFlag] IN 'RED|Amber|Green',[ClusterMunitionsOverallFlag] IN 'RED|Amber|Green',[NBSOverallFlag] IN 'RED|Amber|Green'))",NBSOverallFlag,1
5859,"AND([IssuerType] IN 'Government Institution|Non-Profit Organization|Other|Private Company|Publicly-held',OR([AlcoholInvolvement] ANY 'Production|Distribution|Services',[AnimalWelfareAnimTestInvolvement] ANY 'Pharmaceutical|Non-Pharmaceutical',[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',[GamblingInvolvement] ANY 'Production|Distribution|Services',[GMOInvolvement] ANY 'Agriculture|Pharmaceutical|Other',[PalmOilInvolvement] ANY 'Grower (Production)|Processor (Production)|User (Production)|Distribution',[PornographyInvolvement] ANY 'Production|Distribution|Services',[TobaccoInvolvement] ANY 'Production|Distribution|Services',[MilitaryEqmtInvolvement] ANY 'Production|Distribution|Services'))",AnimalWelfareInvolvement,1
5861,"AND([IssuerType] IN 'Government Institution|Non-Profit Organization|Other|Private Company|Publicly-held',OR([APMinesOverallFlag] IN 'RED|Amber|Green',[ClusterMunitionsOverallFlag] IN 'RED|Amber|Green',[NBSOverallFlag] IN 'RED|Amber|Green',[oekomRatingNumeric] >= '0',[SusSolOverallScore] >= '-10',[ClimateScope1Emissions] >= '0',[ClimateSovProductionEmissions] >= '0',[FossilFuelRevShareMax] >= '0'))",NBSOverallFlag,1
5862,"AND([IssuerType] IN 'Government Institution|Non-Profit Organization|Other|Private Company|Publicly-held',OR([ArcticDrillingInvolvement] ANY 'Production|Exploration',[OilSandsInvolvement] ANY 'Production|Exploration|Services',[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services',[CoalMiningInvolvement] ANY 'Production|Exploration|Distribution|Services',[EnergyExtractivesInvolvement] ANY 'Energy|Extractives|Other',[ShaleOilGasInvolvement] ANY 'Production|Services'))",FossilFuelInvolvement,1
5898,"AND([IssuerType] IN 'Private Company|Publicly-held',OR([NBSOverallFlag] IN 'RED|Amber|Green',[APMinesOverallFlag] IN 'RED|Amber|Green',[oekomRating] IN 'A+|A|A-|B+|B|B-|C+|C|C-|D+|D|D-',[ESQSEnvironmentDec] >= '1'))",NBSOverallFlag,1
5907,"AND([IssuerType] IN 'Publicly-held',[AnimalWelfareInvolvement] ANY 'Factory Farming')",AnimalWelfareInvolvement,1
5922,"AND([IssuerType] IN 'Publicly-held',AND(AND([GSCaseInvolvementType] IN 'Equity|Non-equity',[GSCaseSudanInvolvement] ANY 'Ties to The Government',[GSCaseRelationshipType] IN 'Majority Owner|Operating Company',[GSCaseSudanExemptions] NONE 'Authorized by US Government|Humanitarian'),OR([GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(10-100%]|Oil and Gas:(10-100%]|Power Production:(10-100%]',[GSCaseSudanRevShares] ANY_MAP 'Mineral Extraction:(0-10%]|Oil and Gas:(0-10%]|Power Production:(0-10%]',[GSCaseSudanInvolvement] ANY 'Provider of Military Equipment')))","GSCaseSudanInvolvement, GSCaseSudanInvolvement",2
5935,"AND([IssuerType] IN 'Publicly-held|Private Company',OR([ClusterMunitionsOverallFlag] == 'RED',[APMinesOverallFlag] == 'RED',[NuclearWeaponsNonNPTOverallFlag] == 'RED',[NuclearWeaponsOverallFlag] == 'RED',[ChemicalWeaponsOverallFlag] == 'RED',[BiologicalWeaponsOverallFlag] == 'RED',[MilitaryEqmtRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[NBSOverallFlag] == 'RED',[PornographyRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[FossilFuelRevShareMin] >= '0.05',[TobaccoRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[FossilFuelTotCoalProdRevShareMin] >= '0.05',[FossilFuelDistMinRev] >= '0.05',[FossilFuelExplMinRev] >= '0.05',[FossilFuelServMinRev] >= '0.05',[FossilFuelProdMinRev] >= '0.05',[GMORevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[NuclearPowerUraniumRevShareMin] >= '0.05'))",NBSOverallFlag,1
5947,"AND([MarketCap] < '10000000000',[NBSOverallFlag] IN 'RED|Amber')",NBSOverallFlag,1
5952,"AND([MarketCap] <= '5000000000',[NBSOverallFlag] IN 'RED|Amber')",NBSOverallFlag,1
5969,"AND([MarketCap] > '25000000000',[FossilFuelInvolvement] ANY 'Production',[FossilFuelProdMinRev] >= '0.6',[GasReservesVolumeBOE] >= '0',[OilReservesVolumebbl] > '0',[FossilFuelProdTotalVolGasExtr] > '0',[FossilFuelProdTotalVolOilExtr] > '0',[FossilFuelPercWorldProdGasExtr] >= '0',[FossilFuelPercWorldProdOilExtr] >= '0',[NGLReservesVolumeBOE] >= '0')",FossilFuelInvolvement,1
5975,"AND([MarketCap] > '500000000',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CountryOfIncorporation] IN 'Australia|Austria|Belgium|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Cyprus|Czechia|Denmark|Estonia|Faroe Islands|Finland|France|Georgia|Germany|Gibraltar|Greece|Greenland|Guernsey|Hong Kong|Hungary|Iceland|Ireland|Isle of Man|Israel|Italy|Japan|Jersey|Kosovo|Latvia|Liechtenstein|Lithuania|Luxembourg|Malta|Mexico|Moldova|Monaco|Montenegro|Netherlands|New Zealand|Norfolk Island|North Macedonia|Norway|Palestine, State of|Poland|Portugal|Romania|San Marino|Serbia|Singapore|Slovakia|Slovenia|South Korea|Spain|Sweden|Switzerland|Turkiye|Ukraine|United Kingdom|USA|Vatican City',[CRScGHGTargetsActionPlansNum] >= '3')",FossilFuelInvolvement,1
5976,"AND([MarketCap] > '500000000',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CountryOfIncorporation] IN 'Australia|Austria|Belgium|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Cyprus|Czechia|Denmark|Estonia|Faroe Islands|Finland|France|Georgia|Germany|Gibraltar|Greece|Greenland|Guernsey|Hong Kong|Hungary|Iceland|Ireland|Isle of Man|Israel|Italy|Japan|Jersey|Kosovo|Latvia|Liechtenstein|Lithuania|Luxembourg|Malta|Mexico|Moldova|Monaco|Montenegro|Netherlands|New Zealand|Norfolk Island|North Macedonia|Norway|Palestine, State of|Poland|Portugal|Romania|San Marino|Serbia|Singapore|Slovakia|Slovenia|South Korea|Spain|Sweden|Switzerland|Turkiye|Ukraine|United Kingdom|USA|Vatican City',[SusSolEnergyPercentCombCont] >= '0.2')",FossilFuelInvolvement,1
5977,"AND([MarketCap] > '500000000',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CountryOfIncorporation] IN 'Australia|Austria|Belgium|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Cyprus|Czechia|Denmark|Estonia|Faroe Islands|Finland|France|Georgia|Germany|Gibraltar|Greece|Greenland|Guernsey|Hong Kong|Hungary|Iceland|Ireland|Isle of Man|Israel|Italy|Japan|Jersey|Kosovo|Latvia|Liechtenstein|Lithuania|Luxembourg|Malta|Mexico|Moldova|Monaco|Montenegro|Netherlands|New Zealand|Norfolk Island|North Macedonia|Norway|Palestine, State of|Poland|Portugal|Romania|San Marino|Serbia|Singapore|Slovakia|Slovenia|South Korea|Spain|Sweden|Switzerland|Turkiye|Ukraine|United Kingdom|USA|Vatican City',[SusSolMatUsePercentCombCont] >= '0.2')",FossilFuelInvolvement,1
5978,"AND([MarketCap] > '500000000',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CountryOfIncorporation] IN 'Australia|Austria|Belgium|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Cyprus|Czechia|Denmark|Estonia|Faroe Islands|Finland|France|Georgia|Germany|Gibraltar|Greece|Greenland|Guernsey|Hong Kong|Hungary|Iceland|Ireland|Isle of Man|Israel|Italy|Japan|Jersey|Kosovo|Latvia|Liechtenstein|Lithuania|Luxembourg|Malta|Mexico|Moldova|Monaco|Montenegro|Netherlands|New Zealand|Norfolk Island|North Macedonia|Norway|Palestine, State of|Poland|Portugal|Romania|San Marino|Serbia|Singapore|Slovakia|Slovenia|South Korea|Spain|Sweden|Switzerland|Turkiye|Ukraine|United Kingdom|USA|Vatican City',[SusSolSusBuildPercentCombCont] >= '0.2')",FossilFuelInvolvement,1
5979,"AND([MarketCap] > '500000000',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CountryOfIncorporation] IN 'Australia|Austria|Belgium|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Cyprus|Czechia|Denmark|Estonia|Faroe Islands|Finland|France|Georgia|Germany|Gibraltar|Greece|Greenland|Guernsey|Hong Kong|Hungary|Iceland|Ireland|Isle of Man|Israel|Italy|Japan|Jersey|Kosovo|Latvia|Liechtenstein|Lithuania|Luxembourg|Malta|Mexico|Moldova|Monaco|Montenegro|Netherlands|New Zealand|Norfolk Island|North Macedonia|Norway|Palestine, State of|Poland|Portugal|Romania|San Marino|Serbia|Singapore|Slovakia|Slovenia|South Korea|Spain|Sweden|Switzerland|Turkiye|Ukraine|United Kingdom|USA|Vatican City',[SusSolTerrEcoPercentCombCont] >= '0.2')",FossilFuelInvolvement,1
5980,"AND([MarketCap] > '500000000',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CountryOfIncorporation] IN 'Australia|Austria|Belgium|Bosnia and Herzegovina|Bulgaria|Canada|Croatia|Cyprus|Czechia|Denmark|Estonia|Faroe Islands|Finland|France|Georgia|Germany|Gibraltar|Greece|Greenland|Guernsey|Hong Kong|Hungary|Iceland|Ireland|Isle of Man|Israel|Italy|Japan|Jersey|Kosovo|Latvia|Liechtenstein|Lithuania|Luxembourg|Malta|Mexico|Moldova|Monaco|Montenegro|Netherlands|New Zealand|Norfolk Island|North Macedonia|Norway|Palestine, State of|Poland|Portugal|Romania|San Marino|Serbia|Singapore|Slovakia|Slovenia|South Korea|Spain|Sweden|Switzerland|Turkiye|Ukraine|United Kingdom|USA|Vatican City')",FossilFuelInvolvement,1
6020,"AND([MilitaryEqmtCombatInvolvement] ANY 'Production|Distribution|Services',[MilitaryEqmtRevShareInterval] IN '[0-0%]|(0-1%)|[1-5%)|[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[NBSOverallFlag] == 'RED')",NBSOverallFlag,1
6056,"AND([MilitaryEqmtInvolvement] NONE 'Production|Distribution|Services',[AlcoholInvolvement] NONE 'Production|Distribution|Services',[GamblingInvolvement] NONE 'Production|Distribution|Services',[PornographyInvolvement] NONE 'Production|Distribution',[TobaccoInvolvement] NONE 'Production|Distribution|Services',[FossilFuelInvolvement] NONE 'Production|Exploration|Distribution|Services',[CoalMiningInvolvement] NONE 'Production|Exploration|Distribution|Services',[ShaleOilGasInvolvement] NONE 'Production|Services',[NuclearPowerInvolvement] NONE 'Production|Services',[ViolentVideoGamesInvolvement] NONE 'Production',[AnimalWelfareAnimTestInvolvement] NONE 'Pharmaceutical|Non-Pharmaceutical',[GamblingInvolvement] NONE 'Production|Distribution|Services',[ViolentVideoGamesInvolvement] NONE 'Production')",FossilFuelInvolvement,1
6072,"AND([MilitaryEqmtRevShareInterval] IN '[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[APMinesOverallFlag] == 'RED',[BiologicalWeaponsOverallFlag] == 'RED',[ChemicalWeaponsOverallFlag] == 'RED',[ClusterMunitionsOverallFlag] == 'RED',[NuclearWeaponsOverallFlag] == 'RED',[NuclearWeaponsNonNPTOverallFlag] == 'RED',[NBSOverallFlag] == 'RED',[ArcticDrillingInvolvement] ANY 'Production')",NBSOverallFlag,1
6211,"AND([NBRCaseKeyThematicArea] ANY 'Accounting / disclosure standards|Bribery|Money laundering|Environmental protection|Climate Change|Forced labour|Union rights|Child labour|Workplace discrimination|Labour standards|Fundamental human rights|Consumer protection|Modern slavery',[NBSOverallFlag] == 'RED',[NBRCaseSeveritySignal] ANY 'Severe',[oekomRating] IN 'A+|A|A-|B+|B|B-|C+|C|C-|D+|D|D-')",NBSOverallFlag,1
6212,"AND([NBRCaseKeyThematicArea] ANY 'Accounting / disclosure standards|Bribery|Money laundering|Environmental protection|Climate Change|Forced labour|Union rights|Child labour|Workplace discrimination|Labour standards|Fundamental human rights|Consumer protection|Modern slavery',[NBSOverallFlag] == 'RED',[NBRCaseSeveritySignal] ANY 'Severe')",NBSOverallFlag,1
6282,"AND([NBRCaseKeyThematicArea] NONE 'Child labour',AND([CivFADistMinRev] <= '0.1',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green',[WhitePhosphorusOverallFlag] == 'Green',[NuclearPowerRevShareMin] <= '0.1',[AlcoholTotalProdMinRev] <= '0.1',[NBSOverallFlag] IN 'Amber|Green',[issuerID] < '0',[FossilFuelTotCoalProdRevShareMax] <= '0.1',[PornographyDistMaxRev] <= '0.1',[PornographyProdMaxRev] <= '0.1',[TobaccoProdMaxRev] <= '0.1',NOT ([GICSSubIndustry] IN 'Oil & Gas Exploration & Production'),NOT ([GICSSubIndustry] IN 'Diversified Metals & Mining'),[CountryOfIncorporation] == 'Switzerland'))",NBSOverallFlag,1
6332,"AND([NBRCaseNormILOFundLabourConvention] ANY 'ILO 29 - Forced Labour',[NBSOverallFlag] IN 'RED')",NBSOverallFlag,1
6340,"AND([NBRCaseRemediationIndicator] IN 'Commitment Expressed|No Measures Announced',[NBRCaseSeveritySignal] ANY 'Very Severe|Severe',[NBRCaseVerificationIndicator] IN 'Verified|Verified (under appeal)',[NBRCaseKeyThematicArea] ANY 'Accounting / disclosure standards|Anti-competitive behaviour|Bribery|Money laundering|Environmental protection|Climate Change|Forced labour|Union rights|Child labour|Workplace discrimination|Labour standards|Fundamental human rights|Taxes|Consumer protection|Modern slavery')",NBRCaseVerificationIndicator,1
6372,"AND([NBRCaseSeveritySignal] ANY 'Very Severe|Severe',[CaseScore] >= '6',[NBRCaseFrameworkUNGCPrinciple] ANY 'Principle 1 - Human Rights (All)|Principle 1 - Human Rights|Principle 1 - Human Rights (Labour Rights)|Principle 2 - Human Rights Complicity|Principle 2 - Human Rights Complicity (Labour Rights)|Principle 3 - Union Rights|Principle 4 - Forced Labour|Principle 5 - Child Labour|Principle 6 - Discrimination|Principles 7-9 - Environment|Principle 10 - Corruption',[NBRCaseVerificationIndicator] IN 'Verified|Verified (under appeal)',NOT ([NBRCaseRemediationIndicator] IN 'Credible Measures Adopted'),[NBRCaseFrameworkOECDGuidelines] ANY 'OECD III - Disclosure (Accounting)|OECD IV - Human Rights|OECD V - Employment and Industrial Relations|OECD VI - Environment|OECD VII - Bribery|OECD VIII - Consumer Interests|OECD X - Competition|OECD XI - Taxation')",NBRCaseVerificationIndicator,1
6400,"AND([NBRCaseVerificationIndicator] IN 'Verified|Verified (under appeal)',[NBRCaseNormBiodiversityConvention] True)",NBRCaseVerificationIndicator,1
6441,"AND([NBROverallSeverityIndicator] == 'Very Severe',[NBSOverallFlag] == 'Amber',[FundESGRatingStars] IS :NC)",NBSOverallFlag,1
6467,"AND([NBSCaseIssues] ANY 'Failure to prevent bribery|Failure to prevent money laundering',[NBSOverallFlag] == 'RED')",NBSOverallFlag,1
6469,"AND([NBSCaseIssues] ANY 'Failure to prevent bribery|Failure to prevent money laundering|Failure to pay fair share of taxes',[NBSOverallFlag] == 'RED')",NBSOverallFlag,1
6506,"AND([NBSOverallFlag] == 'Amber',[CountryOfIncorporation] == 'USA')",NBSOverallFlag,1
6507,"AND([NBSOverallFlag] == 'Amber',[NBSOverallFlag] == 'RED')","NBSOverallFlag, NBSOverallFlag",2
6508,"AND([NBSOverallFlag] == 'Amber',AND([NBRCaseRemediationIndicator] IN 'Commitment Expressed|No Measures Announced',[CaseAreas] IN 'Norms-Based Screening>Labour rights|Norms-Based Screening>Corruption|Norms-Based Screening>Environment|Norms-Based Screening>Human rights',[CaseScore] >= '8',[CaseScore] != '10'))",NBSOverallFlag,1
6509,"AND([NBSOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[APMinesOverallFlag] == 'Green',[CarbonReservesInvolvement] NONE 'Coal|Oil and Gas',[ESGRatingDecileRank] <= '3')",NBSOverallFlag,1
6510,"AND([NBSOverallFlag] == 'Green',[InvolvInContrWeapons] False,[oekomRating] IN 'A+|A|A-|B+|B|B-|C+|C|C-',[FossilFuelInvolvementPAI] False,[SDGSolMinCombinedCont] > '0.25')",NBSOverallFlag,1
