query_number,query_text,matched_codes,match_count
2790,"AND([AlcoholInvolvement] NONE 'Production',[GamblingInvolvement] NONE 'Production',[PornographyInvolvement] NONE 'Production',[TobaccoInvolvement] NONE 'Production',[AnimalWelfareAnimTestInvolvement] NONE 'Non-Pharmaceutical',[NuclearPowerInvolvement] NONE 'Production',[DepletedUraniumOverallFlag] == 'Green',[FossilFuelInvolvement] NONE 'Production|Exploration',[MilitaryEqmtInvolvement] NONE 'Production',[MilitaryEqmtCombatInvolvement] NONE 'Production',[CivFAInvolvement] NONE 'Production',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green')",FossilFuelInvolvement,1
2791,"AND([AlcoholInvolvement] NONE 'Production',[GamblingInvolvement] NONE 'Production',[PornographyInvolvement] NONE 'Production',[TobaccoInvolvement] NONE 'Production',[AnimalWelfareAnimTestInvolvement] NONE 'Pharmaceutical|Non-Pharmaceutical',[NuclearPowerInvolvement] NONE 'Production',[DepletedUraniumOverallFlag] == 'Green',[FossilFuelInvolvement] NONE 'Production|Exploration',[MilitaryEqmtInvolvement] NONE 'Production',[MilitaryEqmtCombatInvolvement] NONE 'Production',[CivFAInvolvement] NONE 'Production')",FossilFuelInvolvement,1
2794,"AND([AlcoholInvolvement] NONE 'Production|Distribution|Services',[TobaccoInvolvement] NONE 'Production|Distribution|Services',[GamblingInvolvement] NONE 'Production|Distribution|Services',[PredatoryLendingInvolvement] False,[AbortionAnyTie] False,[AbortifacientsInvolvement] NONE 'Production|Distribution|Services',[PlannedParenthoodInvolvement] False,[PornographyInvolvement] NONE 'Production|Distribution|Services',NOT ([NBSOverallFlag] IN 'RED'))",NBSOverallFlag,1
2814,"AND([AlcoholTotalProdMaxRev] > '0.05',[PornographyProdMaxRev] > '0.05',[TobaccoProdMaxRev] > '0.05',[NBSOverallFlag] == 'RED',[NBSOverallFlag] == 'Amber',[APMinesOverallFlag] == 'RED',[APMinesOverallFlag] == 'Amber',[BiologicalWeaponsOverallFlag] == 'RED',[BiologicalWeaponsOverallFlag] == 'Amber',[ChemicalWeaponsOverallFlag] == 'RED',[BiologicalWeaponsOverallFlag] == 'Amber',[ChemicalWeaponsOverallFlag] == 'RED',[ChemicalWeaponsOverallFlag] == 'Amber',[ClusterMunitionsOverallFlag] == 'RED',[ChemicalWeaponsOverallFlag] == 'Amber',[ClusterMunitionsOverallFlag] == 'RED',[ClusterMunitionsOverallFlag] == 'Amber',[NuclearWeaponsOverallFlag] == 'RED',[NuclearWeaponsOverallFlag] == 'Amber',[NuclearWeaponsNonNPTOverallFlag] == 'RED',[NuclearWeaponsNonNPTOverallFlag] == 'Amber',[MilitaryEqmtProdServMaxRev] > '0.01')","NBSOverallFlag, NBSOverallFlag",2
2822,"AND([AnimalWelfareAnimTestInvolvement] ANY 'Non-Pharmaceutical',[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture')",AnimalWelfareInvolvement,1
2828,"AND([AnimalWelfareAnimTestInvolvement] ANY 'Pharmaceutical',[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture')",AnimalWelfareInvolvement,1
2831,"AND([AnimalWelfareAnimTestInvolvement] ANY 'Pharmaceutical|Non-Pharmaceutical',[AnimalWelfareAnimTestPolicy] True,[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming',[AnimalWelfareProfileNote] IS :ND,[AnimalWelfareThirdPartyLists] ANY 'PETA|USDA Research Facility|USDA Violation of the Animal Welfare Act|USDA Breeder|USDA Exhibitor')",AnimalWelfareInvolvement,1
2834,"AND([AnimalWelfareAnimTestInvolvement] ANY 'Pharmaceutical|Non-Pharmaceutical',[AnimalWelfareInvolvement] ANY 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture')",AnimalWelfareInvolvement,1
2838,"AND([AnimalWelfareAnimTestInvolvement] NONE 'Non-Pharmaceutical',[AnimalWelfareInvolvement] NONE 'Factory Farming|Live Export|Aquaculture',NOT ([GICSSubIndustry] IN 'Meat Poultry & Fish'),[AnimalWelfareFurDistSignInv] NONE 'At least 5%',[AnimalWelfareFurProdSignInv] NONE 'At least 5%')",AnimalWelfareInvolvement,1
2839,"AND([AnimalWelfareAnimTestInvolvement] NONE 'Pharmaceutical|Non-Pharmaceutical',[AnimalWelfareInvolvement] NONE 'Animal Testing|Factory Farming|Fur & Exotic Leather|Live Export|Aquaculture',[PorkInvolvement] NONE 'Production|Distribution',[AnimalWelfareThirdPartyLists] NONE 'PETA|USDA Research Facility|USDA Violation of the Animal Welfare Act|USDA Breeder|USDA Exhibitor')",AnimalWelfareInvolvement,1
